finale 	[sound:youdao-eb98c73e-add0b6bb-d50e4114-f7daf212-9852bdba.mp3]	[fɪ'nɑːlɪ; -leɪ]	n. 結局；終曲；最後一場；最後樂章；尾聲 n. (Finale)人名；(英)菲納利；(意、西)菲納萊	The Orioles rebounded to win in 10 innings on Tuesday night before coasting in the finale.			
humorous 	[sound:youdao-6d65ee17-3ff037df-c26c8bb3-589b13f1-0b6adc3e.mp3]	['hjuːm(ə)rəs]	adj. 詼諧的，幽默的；滑稽的，可笑的	It was intended to be a humorous act and intended to be funny,  the solicitor said.			
blackness 	[sound:youdao-c1e83efb-190a311e-6979411c-6e0626dc-3f384a8d.mp3]	['blaknɪs]	n. 黑色；陰險	The blackness would last for the rest of the afternoon, past twilight and into full night.			
impaired 	[sound:youdao-5a43dfb5-1cacd93e-a095d206-3c6f1209-daa6cb20.mp3]	[ɪm'peəd]	adj. 受損的 v. 損害（impair的過去式和過去分詞）	Amputees and visually impaired athletes will now also be running the 26-mile, 385-yard, route.			
vista 	[sound:youdao-bf74b27f-a07a709c-bb843607-e89267f9-c9f15f1b.mp3]	['vɪstə]	n. 遠景，狹長的街景；展望；回顧 n. (Vista)人名；(意)維斯塔；(西)比斯塔	The summit greets us with a vista arranged from snow and ice, water and clouds.			
melon 	[sound:youdao-0dca6960-72c45a0e-7c28b478-f251fbc8-992ecc9b.mp3]	['melən]	n. 瓜；甜瓜；大肚子；圓鼓鼓像瓜似的東西 n. (Melon)人名；(意、西、葡)梅隆	One that transmits juicy, straight-ahead flavors like peach, melon and citrus without a cloy in a bottleful?			
shade 	[sound:youdao-efcc025b-5f3149e7-a2816ce3-f8fcdf49-b757ee31.mp3]	[ʃeɪd]	n. 樹蔭；陰影；陰涼處；遮陽物；（照片等的）明暗度；少量、些微；細微的差別 vt. 使陰暗；使漸變；為…遮陽；使陰鬱；掩蓋 vi. （顏色、色彩等）漸變 n. (Shade)人名；(英、德)謝德	The company said that its profit margin, at 10.5%, was a shade lower than last year's.			
lagoon 	[sound:youdao-77823f0d-adaac8ed-ea08019c-dfb2ab8d-553207c7.mp3]	[lə'guːn]	n. [地理][水文] 瀉湖；環礁湖；鹹水湖	If you come in September, you can also see migratory waders recuperating in Langebaan Lagoon after transcontinental trips.			
worn 	[sound:youdao-d176d28a-8aeb76bb-80cf9e7f-85f3bfe8-ac9e8501.mp3]	[wɔːn]	adj. 疲倦的；用舊的 v. 穿；磨損（wear的過去分詞）；佩戴 n. (Worn)人名；(柬)翁；(英、葡)沃恩	Williamsburg is famed (and scorned) for its hipster attire, worn by nearly everyone in the 'burg.			
unavailable 	[sound:youdao-0254c109-ea5681a2-a464b0a8-f594d5f3-bc19001d.mp3]	[ʌnə'veɪləb(ə)l]	adj. 難以獲得的；不能利用的；不近便的	For every feature that Google has added, there are two more that remain unavailable.			
dysfunctional 	[sound:youdao-82adf6ee-f8281126-279adbf0-0aaead63-c3057046.mp3]	[dɪsˈfʌŋkʃənl]	機能失調的,功能障礙的	Government is an agent of the status quo, and the current status quo is dysfunctional.			
forgotten 	[sound:youdao-9bd7e070-8c8f8649-90d3ecb2-098a3d61-b6917cae.mp3]	[fə'ɡɒtn]	v. 忘記（forget的過去分詞）	IR—You and many others in the media have forgotten why Mr Netanyahu was elected.			
buyout 	[sound:youdao-a32cbe1e-4ef64750-4ae1decb-e54357d1-c0b70abe.mp3]	['baɪ'aʊt]	n. 全部買下（市上產品）	He thinks back to the unexpected employees reaction to the employee buyout he engineered in 1994.			
scorer 	[sound:youdao-086596bf-7c2ef529-81d2b856-551d4343-ec4c8153.mp3]	['skɔrɚ]	n. （競賽等的）記分員；記錄員；得分者；刻劃痕跡的人 n. (Scorer)人名；(英)斯科勒	Law led Denver with three goals and second-leading scorer Wesley Berg was held without a shot.			
temper 	[sound:youdao-14c0a677-f9ddb94c-00a80f74-1c2b8750-aaa55d9d.mp3]	['tempə]	n. 脾氣；（鋼等）回火；性情；傾向 vt. 使回火；鍛煉；調和；使緩和 vi. 回火；調和	All sorts of people lose their temper in their daily lives, it's part of human nature.			
unmistakable 	[sound:youdao-50e6d00d-4be2cd08-41ac0bb6-7cdad76e-4a93c5b5.mp3]	[ʌnmɪ'steɪkəb(ə)l]	adj. 明顯的；不會弄錯的	For most of the last half century the main threat was unmistakable: a Cold War adversary.			
divisive 	[sound:youdao-9572b7ce-1903a1d4-c4b83a4e-ae2db635-bb48e314.mp3]	[dɪ'vaɪsɪv]	adj. 分裂的；區分的；造成不和的	Abroad, a second Bush term may well be just as ideological and divisive as the first.			
alcoholic 	[sound:youdao-ad18dd41-e43c63aa-8f4f1be3-d540b156-ca9cd1e8.mp3]	[alkə'hɒlɪk]	adj. 酒精的，含酒精的 n. 酒鬼，酗酒者	There is an indoor pool, free (non-alcoholic) drinks from the minibar and even better, free WiFi.			
sensational 	[sound:youdao-fcab19d9-46f9da8d-82d575ad-0984743c-02b9ca85.mp3]	[sen'seɪʃ(ə)n(ə)l]	adj. 轟動的；聳人聽聞的；非常好的；使人感動的	"In fact, Jackson was ""sensational"" on stage, performing 10 to 12 shows a month, he said."			
soundtrack 	[sound:youdao-b90395a2-45687394-8b431d48-e5b00ed0-83c82547.mp3]	['saʊn(d)trak]	n. 聲帶；聲道；聲跡；電影配音	The article 'The other New Orleans soundtrack' was published in partnership with Lonely Planet.			
beware 	[sound:youdao-cc262a74-adb15c66-ce555a5f-f7009f68-06add4f8.mp3]	[bɪ'weə]	vi. 當心，小心 vt. 注意，當心；提防	One thing to beware of with trackers, though, is the tricky relationship between parent and sibling.			
condominium 	[sound:youdao-e2e7fda5-2e7ff1d6-d74c41b7-39780af9-88c97ac5.mp3]	[,kɒndə'mɪnɪəm]	n. 共同統治；財產共有權；獨立產權的公寓	The analysis of more than 30 investments includes a high-rise condominium in West Palm Beach, Fla.			
pertinent 	[sound:youdao-75401a61-a5f53038-78da93e1-e1dc6eb7-b927cdfc.mp3]	['pɜːtɪnənt]	adj. 相關的，相干的；中肯的；切題的	Federal estate tax rates remains constant at the current rates for all pertinent times.			
wrath 	[sound:youdao-1233dbdd-bdefa72a-fd09ac40-283f22b7-72fcdf28.mp3]	[rɒθ; rɔːθ]	n. 憤怒；激怒	Now therefore let me alone, so that my wrath may wax hot against them.			
shimmering 	[sound:youdao-7d5d47fa-9d10bed3-0108a122-3ea1c18d-609ac56f.mp3]	['ʃɪmɚ]	adj. 閃爍的；微微發亮的 v. 閃耀（shimmer進行式）	Sailing through this inlet reveals a huge freshwater lagoon, shimmering aqua green in the sun.			
decor 	[sound:youdao-0aab3fb1-934c813b-79f78673-0f468c14-4fd6ddc1.mp3]	['deɪkɔː; 'de-]	n. 裝飾，佈置	Decor respectfully blends colonial pieces with Art Deco furnishings and hand-painted artwork on the walls.			
wiring 	[sound:youdao-a279862e-1246f106-d4633b68-2f442a7d-4f36899d.mp3]	['waɪərɪŋ]	n. [電] 接線，架線；線路；金屬線縫術 v. 裝電線（wire的現在分詞）	In Japan the government is using its fibers in experimentally wiring an entire Japanese town, Nara.			
charm 	[sound:youdao-18ce7335-625e1572-31ec0ad6-e04d9f93-808a8d79.mp3]	[tʃɑːm]	n. 魅力，吸引力；魔力 vt. 使陶醉；行魔法 vi. 有魔力；用符咒	Cosy log cabins and romantic cottages with heated spas and open fireplaces continue the charm factor.			
insofar 	[sound:youdao-d8199e8d-cdb5ed8e-723de17c-b0dcd26d-95a3f6f3.mp3]	[ɪnsə(ʊ)'fɑː]	adv. 在…的範圍；在…情況下	Now we realize that it matters only insofar as people consume and produce .			
presumption 	[sound:youdao-58ffc01b-04d92822-1a259513-f0006165-418c2e41.mp3]	[prɪ'zʌm(p)ʃ(ə)n]	n. 放肆，傲慢；推測	The presumption was that these sophisticated investors would turn the homes into rental properties.			
smoky 	[sound:youdao-5f174f01-593d5546-6b88a89f-c7e84654-91d36e17.mp3]	['sməʊkɪ]	adj. 冒煙的；煙熏味的；熏著的；嗆人的；煙狀的	In Alsace, it is a go-to wine with smoky pork chops, sausage and choucroute.			
usefulness 	[sound:youdao-9ab3abda-37a6a9c4-bb67ca3a-b246ebc6-eabee73e.mp3]	['juːsf(ʊ)lnəs]	n. 有用；有效性；有益	Move past that clumsy integration and you're left to parse the actual usefulness of the stylus.			
videotape 	[sound:youdao-c9b6a2b7-dbf08f27-4dc763d7-61515adf-374a127d.mp3]	['vɪdɪə(ʊ)teɪp]	n. 錄像帶 vt. 將…錄到錄像帶上	If corpses had to be moved, or videotape destroyed, it was probably done years ago.			
unanswered 	[sound:youdao-55305d91-689bb173-ab3db9c4-e82d41ba-cb2b67d2.mp3]	[ʌn'ɑːnsəd]	adj. 未答覆的；無反應的	These are some of the unanswered questions Los Angeles police investigators are no doubt investigating.			
vocation 	[sound:youdao-1589b6bc-df13d649-2eade3c2-ac17b9df-faf3f859.mp3]	[və(ʊ)'keɪʃ(ə)n]	n. 職業；天職；天命；神召	It was Monet's first solo show in 1880 that inspired the teenage Paul Signac's vocation.			
bullshit 	[sound:youdao-647b0db4-d0e11f65-0073625b-5abfacef-726143de.mp3]	['bʊlʃɪt]	vt. 胡說，哄騙 n. 胡說	After that bullshit, she put on a foot of height and that was it for gymnastics.			
pulpit 	[sound:youdao-849b2ed4-a9a741bf-f031ceb9-90b64666-4e403ec5.mp3]	['pʊlpɪt]	n. 講道壇；高架操縱台；神職人員	It is a bully pulpit from which a folk hero can communicate his values to right-thinking people.			
downplay 	[sound:youdao-ba06fa45-3492da59-ed33d9d4-77389139-594323b6.mp3]	[daʊn'pleɪ]	vt. 不予重視；將...輕描淡寫	But that part of our nature is something that leaders may be best to downplay.			
vineyard 	[sound:youdao-3a0a1792-69e3abe9-04511b18-319b92c2-87a3228f.mp3]	['vɪnjɑːd; -jəd]	n. 葡萄園	The Nature Conservancy is also encouraging vineyard owners to work together to coordinate water demand and supply.			
worldview 	[sound:youdao-418cea24-f13c9e44-bac1fe5a-e852ab49-8fbb035e.mp3]	['wɝld,vjʊ]	n. 世界觀	But most Americans ignore the fundamental conflict between political Islam and their own worldview.			
connected 	[sound:youdao-4974d2fb-1b93e4ab-5fbfc95c-6c23c2c5-0649ad45.mp3]	[kə'nektɪd]	adj. [計] 連接的；有聯繫的；連貫的 v. 連接（connect的過去式）	Everyone connected with Liverpool Studio, past and present, can be very proud of their achievements.			
obedience 	[sound:youdao-6d04cd33-cba29c13-26082788-60eeed22-36ae7d80.mp3]	[ə'biːdɪəns]	n. 順從；服從；遵守 n. (Obedience)人名；(英)奧貝丁絲	We had dreams of obedience, of sit and stay and come, maybe a few simple tricks.			
tart 	[sound:youdao-967d5555-33c5fbe9-922109d4-6bacba38-f4f3cbec.mp3]	[tɑːt]	adj. 酸的；鋒利的；尖刻的 n. 果餡餅；妓女 vt. 打扮 n. (Tart)人名；(英)塔特	Also working against the former pop tart: an abnormally low appeal score of 3.			
endow 	[sound:youdao-0aee76f9-565b9e2f-8ffef2ee-c3e17c01-f4d0befc.mp3]	[ɪn'daʊ; en-]	vt. 賦予；捐贈；天生具有	One way the alliance can send signals is to endow the secretary-general, however fictitiously, with enormous powers.			
equitable 	[sound:youdao-6fa7cd44-1d75a56e-760c083a-37cd296a-0703226f.mp3]	['ekwɪtəb(ə)l]	adj. 公平的，公正的；平衡法的	The expensive guarantees had promised minimum retirement incomes to some of the Equitable's investors.			
self-efficacy 	[sound:youdao-d0fcf69c-904ec67c-209743e6-e1806462-4afa7192.mp3]		n. 自我效能	"Bandura calls that confidence ""self-efficacy, "" and it could possibly change the world, one person at a time."			
logistics 	[sound:youdao-9453676a-f84b4022-79d84307-e4765261-04459169.mp3]	[lə'dʒɪstɪks]	n. [軍] 後勤；後勤學 物流	Transportation outfits have been merging, acquiring and adding services to position themselves as full-service logistics companies.			
flinch 	[sound:youdao-594ecdae-4d8049d2-d6c61170-e26dee86-d5764f8f.mp3]	['flɪn(t)ʃ]	vi. 退縮；畏懼 n. 退縮；畏懼	Within 25 years the bass were growing bellies prodigious enough to make Marlon Brando flinch.			
photon 	[sound:youdao-2bc7e654-5cb3c995-8f022e00-3fbb7665-c9b2f1e5.mp3]	['fəʊtɒn]	n. [物] 光子；輻射量子；見光度（等於light quantum）	And with scratch-resistant glass and splash-guard coating, Motorola PHOTON Q resists everyday scratches and spills.			
steam 	[sound:youdao-f9793bc6-adeb8114-3af3334e-ec650fb7-1833a6bc.mp3]	[stiːm]	vt. 蒸，散發；用蒸汽處理 n. 蒸汽；精力 vi. 蒸，冒水汽 adj. 蒸汽的	An international drive against tax evasion and the use of tax havens has been picking up steam.			
utilization 	[sound:youdao-a7e4b2a7-1b6d52f9-490f6af8-ebd65828-23238c11.mp3]	[,juːtɪlaɪ'zeɪʃən]	n. 利用，使用	The biggest benefit to Spirit is that average daily utilization for its aircraft is 12.6 hours.			
disseminate 	[sound:youdao-fe4d65a7-e563c309-515bbf2d-9671bcb3-e1785ca7.mp3]	[dɪ'semɪneɪt]	vt. 宣傳，傳播；散佈 vi. 散佈；廣為傳播	Only wild birds could carry the disease without getting sick, and so disseminate it far.			
acknowledgment 	[sound:youdao-09fe28a3-b32dea01-c6a3f160-b53d2b09-39315910.mp3]	[ək'nɒlɪdʒmənt]	n. 感謝；承認；承認書	Gail Doktor used to call her Crazy Amy, in affectionate acknowledgment of her volatility.			
witty 	[sound:youdao-a7625076-13d87d4d-e25dfbf0-5118a4e6-63f95560.mp3]	['wɪtɪ]	adj. 詼諧的；富於機智的 n. (Witty)人名；(英)威蒂	Their polished and witty letters have recently been published in the book In Tearing Haste.			
racket 	[sound:youdao-97913120-ca9fa8c3-744eb459-7222c231-3f4b38f0.mp3]	['rakɪt]	n. 球拍；吵鬧，喧鬧 vt. 過著花天酒地的生活 vi. 過著花天酒地的生活	The time has come to get Washington out of the racket of income redistribution.			
rounded 	[sound:youdao-4eab719d-d735afba-8a2faaf3-b6ffb9a8-0c201ede.mp3]	['raʊndɪd]	adj. 圓形的；全面的；豐滿的	For a community-minded and well-rounded student, this could be a lucrative scholarship to win.			
favored 	[sound:youdao-afcba3a5-f29e4b5e-030d4e5d-cf335c20-7c31169a.mp3]	[feɪvəd]	adj. 有利的；受到優待的；受到喜愛的 v. 贊成；寵愛；幫助（favor的過去分詞）；給…以恩惠	Even more than in Canada, in Japan projects like this are gravy-laden for the favored few.			
hide 	[sound:youdao-b26db109-4e09d406-daffd940-1997b98d-3d52475d.mp3]	[haɪd]	vt. 隱藏；隱瞞；鞭打 vi. 隱藏 n. 躲藏；獸皮；躲藏處	With pay based on positive performance, the temptation to hide losses increases on trading desks.			
waterfront 	[sound:youdao-b6cc5b9e-f0dc8b0e-f8578052-0af46766-8ac90db4.mp3]	['wɔːtəfrʌnt]	n. 灘，海濱；水邊 adj. 濱水區的	Breezy waterfront resorts and sleek live-aboard dive vessels host travelling scuba enthusiasts and sunburnt Australians on holiday.			
anyhow 	[sound:youdao-0ceb6732-73fed5d0-5abd3c83-3ff1c58f-7a711b77.mp3]	['enɪhaʊ]	adv. 總之；無論如何；不管怎樣	Anyhow once I logged on as myself, a verified adult, I could access the site.			
injunction 	[sound:youdao-6a194ff5-34e361e1-b91c8375-82902b05-dbc0f79c.mp3]	[ɪn'dʒʌŋ(k)ʃ(ə)n]	n. [管理] 禁令；命令；勸告	It wasted no time in getting an injunction that sent Hug to the sidelines for six months.			
fret 	[sound:youdao-47ac526a-738c1627-70570199-485a46e6-3640c4fa.mp3]	[fret]	vt. 使煩惱；焦急；使磨損 vi. 煩惱；焦急；磨損 n. 煩躁；焦急；磨損 n. (Fret)人名；(法)弗雷；(西)弗雷特	Even people in the snoop business fret that their gear could be taken too far.			
moss 	[sound:youdao-aff6aca8-1574c4a1-3a910ddf-3214844b-82cc4c53.mp3]	[mɒs]	n. 苔蘚；泥沼 vt. 使長滿苔蘚 n. (Moss)人名；(英、德、意、西、葡、波、挪、瑞典)莫斯	Around us flowed the sound of the river and dewdrops wept from the moss.			
downward 	[sound:youdao-2e8a2a9d-1115c1e3-74fac51b-224f310b-2aeface7.mp3]	['daʊnwəd]	adj. 向下的，下降的 adv. 向下	An onyx-winged cormorant arced downward, diving below the inky water while a hippo yawned its tusky jaws.			
rapist 	[sound:youdao-72c2eb1e-2bb9adf3-31df4892-e7805c65-a67f21d0.mp3]	['reɪpɪst]	n. 強姦犯	In rural Peru, for example, 24% of young women say they lost their virginity to a rapist.			
careless 	[sound:youdao-9a849c9f-bfec6246-a9ca3da4-0127e498-30c56747.mp3]	['keələs]	adj. 粗心的；無憂無慮的；淡漠的 n. (Careless)人名；(英)凱爾利斯	Career Justice Department lawyers who have made such careless mistakes have sometimes seen their careers ruined.			
rigor 	[sound:youdao-8d134073-8e13e5e1-10f2c8ec-32ac904f-91c3e141.mp3]	['rɪgɚ]	n. 嚴厲；精確；苛刻；僵硬 n. (Rigor)人名；(英、西、葡)裡戈爾	But what if the cumulative lack of rigor, of critical self-deprecation, turns into systemic publication bias?			
abandonment 	[sound:youdao-f1bd2f5d-28fdfa8e-98c90e7c-57d5d7e8-375f242d.mp3]	[ə'bandənm(ə)nt]	n. 拋棄；放縱	The sense of abandonment by those in power has not changed after the revolution, Mr Hussein said.			
marking 	[sound:youdao-0ee10254-4a6eaeed-a1e6f8fb-b07b5a33-f32f463f.mp3]	['mɑːkɪŋ]	n. 標誌；打分；做記號；斑紋 v. 注意；作記號於；給…打分數（mark的ing形式） n. (Marking)人名；(西)馬金	At a subsequent Liverpool corner, Evra was marking the striker and they became involved in a fierce row.			
observed 	[sound:youdao-0ba75b2d-173cd74c-7e53ccff-15a1afde-7d27f0a3.mp3]	[əb'zɜːvd]	adj. 觀察的；觀測的 v. 觀察；遵守；注意到；慶祝（observe的過去分詞形式）	"Commentator Rebekah Sanderlin has observed that the ""me generation"" has become the ""Mimi(ph)"" generation."			
suspended 	[sound:youdao-97f352d3-1995cc4d-bb5d8333-3f73dc3a-69e24bd7.mp3]	[sə'spendid]	adj. 懸浮的；暫停的，緩期的（宣判）	From an overhang above his head, a small lantern was suspended to light his way.			
flatter 	[sound:youdao-a7c709de-4d110790-94a5c3e4-8de600fb-4b59aeb0.mp3]	['flatə]	vt. 奉承；諂媚；使高興	Out of utter frustration, I designed a line of jeans that would flatter my figure.			
altered 	[sound:youdao-6bb8ff71-1bc8b50d-0b9706e9-d154eeda-52b747b0.mp3]	['ɔːltəd]	v. 改變（alter的過去分詞） adj. 改變了的；蝕變的 n. 為參加短程高速汽車賽而改裝的賽車	The much altered, barnlike interior is where Catherine took her vows and allegedly performed miracles.			
stale 	[sound:youdao-91bc3c99-93b6d956-718d282b-2298e64d-f66d753a.mp3]	[steɪl]	adj. 陳腐的；不新鮮的 vi. 變陳舊；撒尿；變得不新鮮 vt. 使變舊；變得不新鮮 n. 尿 n. (Stale)人名；(塞)斯塔萊	With recent losses, heavy debts, and a stale concept, many analysts found the offering unappetizing.			
finishing 	[sound:youdao-0132d38b-15ff5f69-03504771-b70526e2-7efd0ca0.mp3]	['fɪnɪʃɪŋ]	adj. 最後的；終點的 n. 完成，結束；最後的修整 v. 完成（finish的ing形式）	Weekends and holidays are meant to be spent with families, not spent finishing up work.			
